term,Overall,MARD,MOD,SIDD,SIRD,model
age,"0.96 (0.96, 0.97)","1.03 (1.03, 1.04)","0.91 (0.9, 0.91)","0.93 (0.91, 0.94)","0.98 (0.97, 0.99)",m2
female1,"0.88 (0.83, 0.93)","0.91 (0.86, 0.97)","1.01 (0.94, 1.08)","0.38 (0.29, 0.5)","0.78 (0.69, 0.87)",m2
raceNH Black,"1.08 (0.99, 1.18)","1.21 (1.07, 1.37)","1.59 (1.42, 1.79)","0.29 (0.18, 0.47)","0.79 (0.68, 0.93)",m2
raceNH Other,"1 (0.87, 1.15)","1.38 (1.15, 1.65)","1.14 (0.95, 1.37)","0 (0, 6.6340645858809e+238)","0.86 (0.57, 1.29)",m2
raceNH White,"1.02 (0.94, 1.09)","0.92 (0.83, 1.03)","1.14 (1.03, 1.26)","0.11 (0.06, 0.18)","0.78 (0.67, 0.89)",m2
raceOther,"1.11 (0.92, 1.35)","1.9 (1.42, 2.54)","0.74 (0.29, 1.91)","0.24 (0.09, 0.69)","1.01 (0.79, 1.28)",m2
bmi,"1.01 (1.01, 1.02)","0.95 (0.94, 0.95)","1.08 (1.07, 1.08)","1.03 (1.01, 1.06)","1.05 (1.04, 1.06)",m2
hba1c,"3.54 (3.31, 3.77)","1.62 (1.53, 1.73)","1.76 (1.65, 1.88)","2.39 (2.06, 2.77)","1.47 (1.33, 1.63)",m2
homa2b,"0.98 (0.98, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 1)","0.99 (0.99, 1)",m2
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m2
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m2
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m2
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m2
