term,Overall,MARD,MOD,SIDD,SIRD,model
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m7
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m7
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m7
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m7
(Intercept),"0 (0, 9.28267414621346e+62)","0.01 (0, 0.01)","0 (0, 0)","0 (0, 0.01)","0 (0, 0)",m8
studycardia,"0.15 (0, 1.07429522820145e+118)","0.16 (0.13, 0.22)","2.12 (1.6, 2.8)","0.18 (0.1, 0.34)","0.3 (0.1, 0.91)",m8
studydppos,"25938994536.24 (0, 7.38185876762618e+86)","1.54 (1.41, 1.69)","37.18 (28.87, 47.88)","0.17 (0.1, 0.3)","13.76 (8.55, 22.14)",m8
studyjhs,"10134000830.71 (0, 2.88420080667961e+86)","0.57 (0.46, 0.7)","8.5 (6.33, 11.41)","0.58 (0.31, 1.07)","0.86 (0.26, 2.83)",m8
studymesa,"18436246028.48 (0, 5.24693213907561e+86)","0.26 (0.22, 0.31)","3.08 (2.16, 4.39)","0.73 (0.42, 1.29)","100.04 (62.23, 160.83)",m8
age,"0.96 (0.96, 0.97)","1.03 (1.03, 1.04)","0.91 (0.9, 0.91)","0.93 (0.91, 0.94)","0.98 (0.97, 0.99)",m8
female1,"0.88 (0.83, 0.93)","0.91 (0.86, 0.97)","1.01 (0.94, 1.08)","0.38 (0.29, 0.5)","0.78 (0.69, 0.87)",m8
raceNH Black,"1.08 (0.99, 1.18)","1.21 (1.07, 1.37)","1.59 (1.42, 1.79)","0.29 (0.18, 0.47)","0.79 (0.68, 0.93)",m8
raceNH Other,"1 (0.87, 1.15)","1.38 (1.15, 1.65)","1.14 (0.95, 1.37)","0 (0, 6.6340645858809e+238)","0.86 (0.57, 1.29)",m8
raceNH White,"1.02 (0.94, 1.09)","0.92 (0.83, 1.03)","1.14 (1.03, 1.26)","0.11 (0.06, 0.18)","0.78 (0.67, 0.89)",m8
raceOther,"1.11 (0.92, 1.35)","1.9 (1.42, 2.54)","0.74 (0.29, 1.91)","0.24 (0.09, 0.69)","1.01 (0.79, 1.28)",m8
bmi,"1.01 (1.01, 1.02)","0.95 (0.94, 0.95)","1.08 (1.07, 1.08)","1.03 (1.01, 1.06)","1.05 (1.04, 1.06)",m8
hba1c,"3.54 (3.31, 3.77)","1.62 (1.53, 1.73)","1.76 (1.65, 1.88)","2.39 (2.06, 2.77)","1.47 (1.33, 1.63)",m8
homa2b,"0.98 (0.98, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 1)","0.99 (0.99, 1)",m8
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m8
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m8
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m8
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m8
(Intercept),"0 (0, 9.28267414621346e+62)","0.01 (0, 0.01)","0 (0, 0)","0 (0, 0.01)","0 (0, 0)",m9
studycardia,"0.15 (0, 1.07429522820145e+118)","0.16 (0.13, 0.22)","2.12 (1.6, 2.8)","0.18 (0.1, 0.34)","0.3 (0.1, 0.91)",m9
studydppos,"25938994536.24 (0, 7.38185876762618e+86)","1.54 (1.41, 1.69)","37.18 (28.87, 47.88)","0.17 (0.1, 0.3)","13.76 (8.55, 22.14)",m9
studyjhs,"10134000830.71 (0, 2.88420080667961e+86)","0.57 (0.46, 0.7)","8.5 (6.33, 11.41)","0.58 (0.31, 1.07)","0.86 (0.26, 2.83)",m9
studymesa,"18436246028.48 (0, 5.24693213907561e+86)","0.26 (0.22, 0.31)","3.08 (2.16, 4.39)","0.73 (0.42, 1.29)","100.04 (62.23, 160.83)",m9
age,"0.96 (0.96, 0.97)","1.03 (1.03, 1.04)","0.91 (0.9, 0.91)","0.93 (0.91, 0.94)","0.98 (0.97, 0.99)",m9
female1,"0.88 (0.83, 0.93)","0.91 (0.86, 0.97)","1.01 (0.94, 1.08)","0.38 (0.29, 0.5)","0.78 (0.69, 0.87)",m9
raceNH Black,"1.08 (0.99, 1.18)","1.21 (1.07, 1.37)","1.59 (1.42, 1.79)","0.29 (0.18, 0.47)","0.79 (0.68, 0.93)",m9
raceNH Other,"1 (0.87, 1.15)","1.38 (1.15, 1.65)","1.14 (0.95, 1.37)","0 (0, 6.6340645858809e+238)","0.86 (0.57, 1.29)",m9
raceNH White,"1.02 (0.94, 1.09)","0.92 (0.83, 1.03)","1.14 (1.03, 1.26)","0.11 (0.06, 0.18)","0.78 (0.67, 0.89)",m9
raceOther,"1.11 (0.92, 1.35)","1.9 (1.42, 2.54)","0.74 (0.29, 1.91)","0.24 (0.09, 0.69)","1.01 (0.79, 1.28)",m9
bmi,"1.01 (1.01, 1.02)","0.95 (0.94, 0.95)","1.08 (1.07, 1.08)","1.03 (1.01, 1.06)","1.05 (1.04, 1.06)",m9
hba1c,"3.54 (3.31, 3.77)","1.62 (1.53, 1.73)","1.76 (1.65, 1.88)","2.39 (2.06, 2.77)","1.47 (1.33, 1.63)",m9
homa2b,"0.98 (0.98, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 1)","0.99 (0.99, 1)",m9
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m9
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m9
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m9
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m9
(Intercept),"0 (0, 9.28267414621346e+62)","0.01 (0, 0.01)","0 (0, 0)","0 (0, 0.01)","0 (0, 0)",m10
studycardia,"0.15 (0, 1.07429522820145e+118)","0.16 (0.13, 0.22)","2.12 (1.6, 2.8)","0.18 (0.1, 0.34)","0.3 (0.1, 0.91)",m10
studydppos,"25938994536.24 (0, 7.38185876762618e+86)","1.54 (1.41, 1.69)","37.18 (28.87, 47.88)","0.17 (0.1, 0.3)","13.76 (8.55, 22.14)",m10
studyjhs,"10134000830.71 (0, 2.88420080667961e+86)","0.57 (0.46, 0.7)","8.5 (6.33, 11.41)","0.58 (0.31, 1.07)","0.86 (0.26, 2.83)",m10
studymesa,"18436246028.48 (0, 5.24693213907561e+86)","0.26 (0.22, 0.31)","3.08 (2.16, 4.39)","0.73 (0.42, 1.29)","100.04 (62.23, 160.83)",m10
age,"0.96 (0.96, 0.97)","1.03 (1.03, 1.04)","0.91 (0.9, 0.91)","0.93 (0.91, 0.94)","0.98 (0.97, 0.99)",m10
female1,"0.88 (0.83, 0.93)","0.91 (0.86, 0.97)","1.01 (0.94, 1.08)","0.38 (0.29, 0.5)","0.78 (0.69, 0.87)",m10
raceNH Black,"1.08 (0.99, 1.18)","1.21 (1.07, 1.37)","1.59 (1.42, 1.79)","0.29 (0.18, 0.47)","0.79 (0.68, 0.93)",m10
raceNH Other,"1 (0.87, 1.15)","1.38 (1.15, 1.65)","1.14 (0.95, 1.37)","0 (0, 6.6340645858809e+238)","0.86 (0.57, 1.29)",m10
raceNH White,"1.02 (0.94, 1.09)","0.92 (0.83, 1.03)","1.14 (1.03, 1.26)","0.11 (0.06, 0.18)","0.78 (0.67, 0.89)",m10
raceOther,"1.11 (0.92, 1.35)","1.9 (1.42, 2.54)","0.74 (0.29, 1.91)","0.24 (0.09, 0.69)","1.01 (0.79, 1.28)",m10
bmi,"1.01 (1.01, 1.02)","0.95 (0.94, 0.95)","1.08 (1.07, 1.08)","1.03 (1.01, 1.06)","1.05 (1.04, 1.06)",m10
hba1c,"3.54 (3.31, 3.77)","1.62 (1.53, 1.73)","1.76 (1.65, 1.88)","2.39 (2.06, 2.77)","1.47 (1.33, 1.63)",m10
homa2b,"0.98 (0.98, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 0.99)","0.99 (0.99, 1)","0.99 (0.99, 1)",m10
homa2ir,"1.84 (1.78, 1.91)","1.34 (1.29, 1.4)","1.58 (1.52, 1.65)","1.28 (1.14, 1.44)","1.56 (1.49, 1.64)",m10
ldlc,"1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (0.99, 1)","1 (1, 1)",m10
sbp,"1.01 (1.01, 1.01)","1 (1, 1.01)","1 (1, 1.01)","1.01 (1, 1.02)","1.01 (1.01, 1.01)",m10
egfr_ckdepi_2021,"1 (1, 1)","1 (1, 1)","1 (1, 1.01)","1 (1, 1.01)","0.99 (0.99, 1)",m10
